f0x,f0y,f1x,f1y,f2x,f2y,f3x,f3y,roll,pitch,label
-54.64,26.89,-70.07,2.48,-43.04,0.73,-62.66,-0.78,39.73,4.55,0
-55.53,25.71,-67.9,4.25,-43.91,-0.41,-61.46,-3.72,40.23,4.01,0
-56.3,24.76,-71.88,0.86,-43.91,-0.41,-61.68,-4.42,40.68,2.56,0
-55.4,25.71,-70.27,0.86,-43.6,-1.38,-61.41,-3.92,40.65,2.07,0
-59.15,22.28,-70.27,0.86,-42.55,-3.29,-61.98,-5.22,39.39,1.15,0
-58.34,22.93,-71.65,-0.71,-42.37,-2.79,-60.46,-6.25,39.92,0.86,0
-58.34,22.93,-71.62,0.32,-42.37,-2.79,-60.46,-6.25,39.97,0.82,0
-58.34,22.93,-71.62,0.32,-42.97,-3.2,-60.46,-6.25,39.85,0.79,0
-58.34,22.93,-71.62,0.32,-42.97,-3.2,-61.9,-5.76,39.99,0.82,0
-58.01,23.1,-71.62,0.32,-42.97,-3.2,-61.9,-5.76,40.22,0.79,0
-58.01,23.1,-70.75,-1.18,-42.97,-3.2,-61.9,-5.76,40.52,0.73,0
-58.01,23.1,-70.75,-1.18,-42.95,-1.17,-61.9,-5.76,40.34,0.7,0
-58.01,23.1,-70.75,-1.18,-42.95,-1.17,-61.77,-7.2,40.2,0.77,0
-57.56,23.68,-70.75,-1.18,-42.95,-1.17,-61.77,-7.2,40.27,0.8,0
-57.56,23.68,-70.19,0.84,-42.95,-1.17,-61.77,-7.2,39.78,0.85,0
-57.56,23.68,-70.19,0.84,-42.71,-4.76,-61.77,-7.2,39.84,0.79,0
-57.56,23.68,-70.19,0.84,-42.71,-4.76,-61.67,-4.81,39.84,0.88,0
-57.52,23.73,-70.19,0.84,-42.71,-4.76,-61.67,-4.81,39.75,0.88,0
-57.52,23.73,-75.33,0.04,-42.71,-4.76,-61.67,-4.81,39.73,0.96,0
-57.52,23.73,-75.33,0.04,-39.14,-0.26,-61.67,-4.81,37.53,1.44,0
-57.52,23.73,-75.33,0.04,-39.14,-0.26,-55.18,-3.05,35.66,1.04,0
-60.5,20.9,-75.33,0.04,-39.14,-0.26,-55.18,-3.05,32.22,2.47,0
-60.5,20.9,-58.8,5.01,-39.14,-0.26,-55.18,-3.05,31.1,3.53,0
-60.5,20.9,-58.8,5.01,-31.93,4.98,-55.18,-3.05,27.25,5.89,0
-60.5,20.9,-58.8,5.01,-31.93,4.98,-46.95,5.54,26.55,6.91,0
-54.26,23.25,-58.8,5.01,-31.93,4.98,-46.95,5.54,26.5,8.26,0
-54.26,23.25,-57.2,5.62,-31.93,4.98,-46.95,5.54,23.46,10.75,0
-54.26,23.25,-57.2,5.62,-31.84,12.77,-46.95,5.54,23.76,10.84,0
-54.26,23.25,-57.2,5.62,-31.84,12.77,-48.13,2.35,23.65,10.33,0
-54.68,21.97,-57.2,5.62,-31.84,12.77,-48.13,2.35,24.16,9.53,0
-54.68,21.97,-52.49,6.08,-31.84,12.77,-48.13,2.35,23.76,9.48,0
-54.68,21.97,-52.49,6.08,-30.58,8.77,-48.13,2.35,23.44,9.68,0
-54.68,21.97,-52.49,6.08,-30.58,8.77,-48.6,2.16,23.26,9.62,0
-52.09,24.62,-52.49,6.08,-30.58,8.77,-48.6,2.16,22.94,9.69,0
-52.09,24.62,-52.6,4.59,-30.58,8.77,-48.6,2.16,22.81,9.5,0
-52.09,24.62,-52.6,4.59,-30.36,9.21,-48.6,2.16,22.72,9.6,0
-52.09,24.62,-52.6,4.59,-30.36,9.21,-48.3,2.36,22.76,9.59,0
-52.3,24.28,-52.6,4.59,-30.36,9.21,-48.3,2.36,22.61,9.58,0
-52.3,24.28,-52.4,4.46,-30.36,9.21,-48.3,2.36,22.6,9.61,0
-52.3,24.28,-52.4,4.46,-29.82,9.4,-48.3,2.36,22.57,9.62,0
-52.3,24.28,-52.4,4.46,-29.82,9.4,-47.91,2.34,22.51,9.62,0
-52.16,24.39,-52.4,4.46,-29.82,9.4,-47.91,2.34,22.45,9.65,0
-52.16,24.39,-52.69,4.18,-29.82,9.4,-47.91,2.34,22.41,9.68,0
-52.16,24.39,-52.69,4.18,-29.67,9.77,-47.91,2.34,22.45,9.69,0
-52.16,24.39,-52.69,4.18,-29.67,9.77,-47.68,2.97,22.35,9.7,0
-52.53,24.01,-52.69,4.18,-29.67,9.77,-47.68,2.97,22.3,9.66,0
-52.53,24.01,-52.09,4.01,-29.67,9.77,-47.68,2.97,22.26,9.66,0
-52.53,24.01,-52.09,4.01,-29.25,9.13,-47.68,2.97,22.19,9.68,0
-52.53,24.01,-52.09,4.01,-29.25,9.13,-47.71,2.56,22.15,9.65,0
-52.12,24.62,-52.09,4.01,-29.25,9.13,-47.71,2.56,21.97,9.71,0
-52.12,24.62,-51.12,4.82,-29.25,9.13,-47.71,2.56,21.91,9.73,0
-52.12,24.62,-51.12,4.82,-29.46,9.48,-47.71,2.56,21.85,9.76,0
-52.12,24.62,-51.12,4.82,-29.46,9.48,-47.83,3.22,21.79,9.75,0
-52.22,24.03,-51.12,4.82,-29.46,9.48,-47.83,3.22,21.76,9.79,0
-52.22,24.03,-51.44,4.66,-29.46,9.48,-47.83,3.22,21.75,9.76,0
-52.22,24.03,-51.44,4.66,-29.5,9.46,-47.83,3.22,21.75,9.77,0
-52.22,24.03,-51.44,4.66,-29.5,9.46,-47.52,2.87,21.76,9.77,0
-52.47,24.19,-51.44,4.66,-29.5,9.46,-47.52,2.87,21.79,9.74,0
-52.47,24.19,-51.62,3.78,-29.5,9.46,-47.52,2.87,21.79,9.73,0
-52.47,24.19,-51.62,3.78,-29.47,8.72,-47.52,2.87,21.73,9.68,0
-52.47,24.19,-51.62,3.78,-29.47,8.72,-46.89,2.5,21.81,9.67,0
-50.87,25.67,-51.62,3.78,-29.47,8.72,-46.89,2.5,22.11,9.48,0
-50.87,25.67,-56.05,0.73,-29.47,8.72,-46.89,2.5,23.18,8.67,0
-50.87,25.67,-56.05,0.73,-31.38,8.07,-46.89,2.5,23.31,8.25,0
-50.87,25.67,-56.05,0.73,-31.38,8.07,-48.73,-0.81,23.35,8.4,0
-52.55,25.09,-56.05,0.73,-31.38,8.07,-48.73,-0.81,23.21,8.3,0
-52.55,25.09,-53.14,4.5,-31.38,8.07,-48.73,-0.81,23.23,8.67,0
-52.55,25.09,-53.14,4.5,-30.31,5.98,-48.73,-0.81,23.18,8.66,0
-52.55,25.09,-53.14,4.5,-30.31,5.98,-50.3,4.71,23.55,8.76,0
-52.64,23.14,-53.14,4.5,-30.31,5.98,-50.3,4.71,23.02,9.01,0
-52.64,23.14,-55.95,0.17,-30.31,5.98,-50.3,4.71,23.45,8.64,0
-52.64,23.14,-55.95,0.17,-32.19,10.85,-50.3,4.71,23.33,8.91,0
-52.64,23.14,-55.95,0.17,-32.19,10.85,-48.24,-0.22,23.4,8.88,0
-52.8,26.07,-55.95,0.17,-32.19,10.85,-48.24,-0.22,23.52,8.76,0
-52.8,26.07,-54.22,3.89,-32.19,10.85,-48.24,-0.22,23.42,9.05,0
-52.8,26.07,-54.22,3.89,-31.33,8.05,-48.24,-0.22,23.64,8.9,0
-52.8,26.07,-54.22,3.89,-31.33,8.05,-49.68,1.89,23.81,9.01,0
-53.11,24.96,-54.22,3.89,-31.33,8.05,-49.68,1.89,23.81,8.94,0
-53.11,24.96,-54.3,3.61,-31.33,8.05,-49.68,1.89,23.77,8.95,0
-53.11,24.96,-54.3,3.61,-31.0,7.16,-49.68,1.89,23.63,8.93,0
-53.11,24.96,-54.3,3.61,-31.0,7.16,-48.78,2.9,23.61,8.96,0
-55.33,22.88,-54.3,3.61,-31.0,7.16,-48.78,2.9,23.29,8.86,0
-55.33,22.88,-54.38,5.23,-31.0,7.16,-48.78,2.9,23.07,8.78,0
-55.33,22.88,-54.38,5.23,-29.93,8.48,-48.78,2.9,22.77,9.03,0
-55.33,22.88,-54.38,5.23,-29.93,8.48,-49.7,1.18,22.99,8.88,0
-50.98,26.13,-54.38,5.23,-29.93,8.48,-49.7,1.18,23.08,9.14,0
-50.98,26.13,-54.75,2.5,-29.93,8.48,-49.7,1.18,22.94,9.39,0
-50.98,26.13,-54.75,2.5,-30.48,8.88,-49.7,1.18,23.05,8.99,0
-50.98,26.13,-54.75,2.5,-30.48,8.88,-48.57,1.92,22.95,9.03,0
-52.88,24.57,-54.75,2.5,-30.48,8.88,-48.57,1.92,22.88,9.15,0
-52.88,24.57,-53.81,3.03,-30.48,8.88,-48.57,1.92,22.94,9.17,0
-52.88,24.57,-53.81,3.03,-31.8,7.72,-48.57,1.92,23.18,9.17,0
-52.88,24.57,-53.81,3.03,-31.8,7.72,-49.26,4.62,23.55,9.34,0
-53.08,24.1,-53.81,3.03,-31.8,7.72,-49.26,4.62,23.29,9.41,0
-53.08,24.1,-56.44,2.1,-31.8,7.72,-49.26,4.62,23.58,9.07,0
-53.08,24.1,-56.44,2.1,-32.76,9.38,-49.26,4.62,23.58,9.12,0
-53.08,24.1,-56.44,2.1,-32.76,9.38,-48.19,1.21,23.47,9.24,0
-53.31,24.76,-56.44,2.1,-32.76,9.38,-48.19,1.21,23.44,9.1,0
-53.31,24.76,-54.16,3.77,-32.76,9.38,-48.19,1.21,23.44,9.27,0
-53.31,24.76,-54.16,3.77,-31.53,8.02,-48.19,1.21,23.47,9.23,0
-53.31,24.76,-54.16,3.77,-31.53,8.02,-49.64,2.6,23.5,9.18,0
-53.56,24.56,-54.16,3.77,-31.53,8.02,-49.64,2.6,23.5,9.2,0
-53.56,24.56,-54.12,4.4,-31.53,8.02,-49.64,2.6,23.45,9.16,0
-53.56,24.56,-54.12,4.4,-31.06,6.13,-49.64,2.6,23.3,8.96,0
-53.56,24.56,-54.12,4.4,-31.06,6.13,-49.69,2.99,23.3,9.01,0
-52.55,24.91,-54.12,4.4,-31.06,6.13,-49.69,2.99,22.91,9.41,0
-52.55,24.91,-55.65,2.34,-31.06,6.13,-49.69,2.99,23.07,9.18,0
-52.55,24.91,-55.65,2.34,-31.18,8.56,-49.69,2.99,23.1,9.2,0
-52.55,24.91,-55.65,2.34,-31.18,8.56,-48.38,2.5,23.03,9.24,0
-52.91,24.97,-55.65,2.34,-31.18,8.56,-48.38,2.5,23.06,9.35,0
-52.91,24.97,-54.46,4.73,-31.18,8.56,-48.38,2.5,23.17,9.32,0
-52.91,24.97,-54.46,4.73,-30.67,8.15,-48.38,2.5,23.16,9.37,0
-52.91,24.97,-54.46,4.73,-30.67,8.15,-49.38,2.57,23.25,9.33,0
-53.56,24.64,-54.46,4.73,-30.67,8.15,-49.38,2.57,23.31,9.34,0
-53.56,24.64,-54.9,4.68,-30.67,8.15,-49.38,2.57,23.32,9.31,0
-53.56,24.64,-54.9,4.68,-31.44,7.7,-49.38,2.57,23.36,9.27,0
-53.56,24.64,-54.9,4.68,-31.44,7.7,-49.59,1.8,23.41,9.26,0
-53.77,24.48,-54.9,4.68,-31.44,7.7,-49.59,1.8,23.37,9.25,0
-53.77,24.48,-55.23,3.9,-31.44,7.7,-49.59,1.8,23.47,9.27,0
-53.77,24.48,-55.23,3.9,-31.68,7.17,-49.59,1.8,23.49,9.26,0
-53.77,24.48,-55.23,3.9,-31.68,7.17,-49.41,2.04,23.37,9.21,0
-53.58,24.24,-55.23,3.9,-31.68,7.17,-49.41,2.04,23.39,9.2,0
-53.58,24.24,-54.32,4.45,-31.68,7.17,-49.41,2.04,23.47,9.21,0
-53.58,24.24,-54.32,4.45,-31.71,8.01,-49.41,2.04,23.48,9.18,0
-53.58,24.24,-54.32,4.45,-31.71,8.01,-49.29,2.23,23.48,9.25,0
-54.03,23.38,-54.32,4.45,-31.71,8.01,-49.29,2.23,23.56,9.24,0
-54.03,23.38,-56.03,3.93,-31.71,8.01,-49.29,2.23,23.69,9.23,0
-54.03,23.38,-56.03,3.93,-31.55,7.83,-49.29,2.23,23.31,9.07,0
-54.03,23.38,-56.03,3.93,-31.55,7.83,-48.39,0.77,23.37,9.06,0
-52.88,25.5,-56.03,3.93,-31.55,7.83,-48.39,0.77,23.55,8.72,0
-52.88,25.5,-54.54,4.36,-31.55,7.83,-48.39,0.77,23.26,8.89,0
-52.88,25.5,-54.54,4.36,-31.74,7.75,-48.39,0.77,23.44,8.89,0
-52.88,25.5,-54.54,4.36,-31.74,7.75,-49.39,1.98,23.48,9.09,0
-52.84,25.8,-54.54,4.36,-31.74,7.75,-49.39,1.98,23.62,9.06,0
-52.84,25.8,-52.37,3.8,-31.74,7.75,-49.39,1.98,23.31,8.99,0
-52.84,25.8,-52.37,3.8,-32.42,6.04,-49.39,1.98,23.3,8.82,0
59.45,8.29,65.08,4.03,67.59,8.74,72.3,-9.34,96.19,-2.36,1
71.23,5.13,70.52,2.91,68.17,4.93,72.3,-9.34,95.77,-2.39,1
63.03,9.39,65.76,8.18,71.31,4.32,71.95,-8.18,95.34,-2.6,1
60.84,9.23,68.42,3.86,71.31,4.32,67.81,-12.28,93.77,-2.33,1
61.79,9.5,68.42,3.86,66.23,5.34,72.28,-5.81,92.29,-1.49,1
64.66,7.84,65.74,3.28,67.4,4.26,69.57,-9.11,92.84,-1.75,1
64.66,7.84,63.91,5.31,64.92,5.78,70.74,-9.67,93.37,-1.74,1
63.06,9.51,63.41,4.55,65.14,4.82,71.81,-8.35,93.5,-1.64,1
61.08,8.15,63.74,4.77,64.61,5.43,71.81,-8.35,93.53,-1.6,1
61.42,9.78,64.9,3.95,63.34,4.67,67.91,-10.43,93.43,-1.68,1
61.57,8.86,63.82,5.23,63.34,4.67,69.77,-9.26,93.47,-1.6,1
61.23,8.99,63.97,5.31,62.96,4.44,69.39,-9.41,93.42,-1.5,1
61.24,9.83,63.97,5.31,62.29,4.68,69.63,-8.91,93.41,-1.4,1
60.98,8.86,62.97,5.12,63.4,4.71,69.03,-9.03,93.64,-1.5,1
60.98,8.86,63.38,3.59,62.7,4.92,69.03,-9.03,93.59,-1.61,1
61.3,8.03,62.69,5.23,62.89,3.49,69.03,-9.03,93.56,-1.66,1
60.44,7.82,63.19,5.25,63.89,4.54,69.52,-8.95,93.7,-1.63,1
61.79,8.72,63.37,4.68,63.89,4.54,68.87,-9.45,93.89,-1.72,1
61.0,9.32,63.39,5.31,64.01,4.33,69.36,-9.47,93.76,-1.69,1
60.85,8.67,63.39,5.31,62.89,4.96,69.15,-8.86,93.72,-1.6,1
68.12,5.63,63.8,4.64,61.87,4.45,69.88,-9.14,93.74,-1.66,1
