-45.02,29.77,-59.2,6.85,-66.92,-4.44,-67.09,3.48,57.29,-1.32,0
-45.02,29.77,-59.2,6.85,-55.73,-4.53,-67.09,3.48,52.74,-1.91,0
-45.02,29.77,-59.2,6.85,-55.73,-4.53,-79.25,2.36,49.37,-2.75,0
-49.9,30.44,-59.2,6.85,-55.73,-4.53,-79.25,2.36,45.92,-0.82,0
-49.9,30.44,-76.13,5.82,-55.73,-4.53,-79.25,2.36,44.98,0.16,0
-49.9,30.44,-76.13,5.82,-54.36,-1.99,-79.25,2.36,43.79,1.66,0
-49.9,30.44,-76.13,5.82,-54.36,-1.99,-77.3,3.2,44.07,2.27,0
-47.43,30.6,-76.13,5.82,-54.36,-1.99,-77.3,3.2,45.55,0.22,0
-47.43,30.6,-73.77,4.52,-54.36,-1.99,-77.3,3.2,49.37,0.03,0
-47.43,30.6,-73.77,4.52,-57.03,-0.89,-77.3,3.2,49.22,1.33,0
-47.43,30.6,-73.77,4.52,-57.03,-0.89,-73.98,5.39,49.06,3.09,0
-44.92,32.31,-73.77,4.52,-57.03,-0.89,-73.98,5.39,49.86,2.2,0
-44.92,32.31,-69.92,7.7,-57.03,-0.89,-73.98,5.39,50.54,-0.2,0
-44.92,32.31,-69.92,7.7,-62.4,-5.29,-73.98,5.39,50.49,0.82,0
-44.92,32.31,-69.92,7.7,-62.4,-5.29,-72.94,1.64,50.7,1.95,0
-44.98,32.91,-69.92,7.7,-62.4,-5.29,-72.94,1.64,51.45,1.09,0
-44.98,32.91,-70.66,7.15,-62.4,-5.29,-72.94,1.64,51.82,0.47,0
-44.98,32.91,-70.66,7.15,-61.31,-8.27,-72.94,1.64,52.76,-0.02,0
-44.98,32.91,-70.66,7.15,-61.31,-8.27,-71.01,1.52,53.18,0.26,0
-44.93,32.53,-70.66,7.15,-61.31,-8.27,-71.01,1.52,53.15,-0.6,0
-44.93,32.53,-70.1,3.94,-61.31,-8.27,-71.01,1.52,53.68,-0.63,0
-44.93,32.53,-70.1,3.94,-59.81,-6.36,-71.01,1.52,53.11,-1.06,0
-44.93,32.53,-70.1,3.94,-59.81,-6.36,-71.04,-1.18,52.7,-0.98,0
-44.79,31.81,-70.1,3.94,-59.81,-6.36,-71.04,-1.18,53.07,-1.16,0
-44.79,31.81,-70.0,4.79,-59.81,-6.36,-71.04,-1.18,53.85,-1.85,0
-44.79,31.81,-70.0,4.79,-61.27,-7.31,-71.04,-1.18,54.03,-1.79,0
-44.79,31.81,-70.0,4.79,-61.27,-7.31,-69.23,-0.6,53.98,-2.06,0
-44.74,30.41,-70.0,4.79,-61.27,-7.31,-69.23,-0.6,54.44,-2.15,0
-44.74,30.41,-70.09,5.15,-61.27,-7.31,-69.23,-0.6,54.7,-2.22,0
-44.74,30.41,-70.09,5.15,-61.36,-11.11,-69.23,-0.6,55.15,-2.46,0
-44.74,30.41,-70.09,5.15,-61.36,-11.11,-70.71,0.61,55.26,-2.72,0
-44.43,30.07,-70.09,5.15,-61.36,-11.11,-70.71,0.61,55.39,-3.14,0
-44.43,30.07,-71.14,1.6,-61.36,-11.11,-70.71,0.61,55.66,-3.02,0
-44.43,30.07,-71.14,1.6,-61.93,-7.34,-70.71,0.61,55.68,-1.71,0
-44.43,30.07,-71.14,1.6,-61.93,-7.34,-67.51,-2.16,55.81,-2.11,0
-45.67,30.81,-71.14,1.6,-61.93,-7.34,-67.51,-2.16,56.01,-1.99,0
-45.67,30.81,-67.13,5.29,-61.93,-7.34,-67.51,-2.16,56.51,-2.75,0
-45.67,30.81,-67.13,5.29,-64.24,-10.76,-67.51,-2.16,56.91,-2.37,0
-45.67,30.81,-67.13,5.29,-64.24,-10.76,-69.0,-1.29,56.98,-3.22,0
-43.94,30.14,-67.13,5.29,-64.24,-10.76,-69.0,-1.29,56.33,-3.24,0
-43.94,30.14,-66.87,7.42,-64.24,-10.76,-69.0,-1.29,56.54,-3.05,0
-43.94,30.14,-66.87,7.42,-60.62,-10.91,-69.0,-1.29,56.24,-2.74,0
-43.94,30.14,-66.87,7.42,-60.62,-10.91,-68.76,0.32,56.13,-2.75,0
-44.23,30.75,-66.87,7.42,-60.62,-10.91,-68.76,0.32,55.06,-2.4,0
-44.23,30.75,-69.16,5.62,-60.62,-10.91,-68.76,0.32,54.21,-2.49,0
-44.23,30.75,-69.16,5.62,-60.31,-5.58,-68.76,0.32,52.62,-1.73,0
-44.23,30.75,-69.16,5.62,-60.31,-5.58,-75.86,-0.2,51.6,-1.03,0
-47.57,32.18,-69.16,5.62,-60.31,-5.58,-75.86,-0.2,50.37,-0.64,0
-47.57,32.18,-76.06,5.14,-60.31,-5.58,-75.86,-0.2,48.65,-0.18,0
-47.57,32.18,-76.06,5.14,-56.83,-4.03,-75.86,-0.2,47.92,-0.28,0
-47.57,32.18,-76.06,5.14,-56.83,-4.03,-77.99,3.69,46.14,0.68,0
-49.53,31.73,-76.06,5.14,-56.83,-4.03,-77.99,3.69,44.99,1.07,0
-49.53,31.73,-74.44,7.1,-56.83,-4.03,-77.99,3.69,43.8,1.35,0
-49.53,31.73,-74.44,7.1,-51.99,0.17,-77.99,3.69,43.14,1.76,0
-49.53,31.73,-74.44,7.1,-51.99,0.17,-76.57,3.85,42.26,2.07,0
-49.07,32.14,-74.44,7.1,-51.99,0.17,-76.57,3.85,41.82,2.29,0
-49.07,32.14,-74.34,6.61,-51.99,0.17,-76.57,3.85,41.73,2.35,0
-49.07,32.14,-74.34,6.61,-50.54,1.95,-76.57,3.85,41.02,2.38,0
-49.07,32.14,-74.34,6.61,-50.54,1.95,-76.44,4.0,40.73,2.64,0
-50.69,30.62,-74.34,6.61,-50.54,1.95,-76.44,4.0,40.68,2.44,0
-50.69,30.62,-74.51,5.6,-50.54,1.95,-76.44,4.0,40.75,2.28,0
-50.69,30.62,-74.51,5.6,-52.0,0.4,-76.44,4.0,40.65,2.14,0
-50.69,30.62,-74.51,5.6,-52.0,0.4,-76.48,2.97,40.82,2.25,0
-49.24,32.23,-74.51,5.6,-52.0,0.4,-76.48,2.97,41.67,2.79,0
-49.24,32.23,-69.65,11.76,-52.0,0.4,-76.48,2.97,44.92,3.72,0
-49.24,32.23,-69.65,11.76,-55.01,-2.79,-76.48,2.97,46.07,2.85,0
-49.24,32.23,-69.65,11.76,-55.01,-2.79,-73.31,1.69,47.68,0.34,0
-46.3,32.46,-69.65,11.76,-55.01,-2.79,-73.31,1.69,48.48,-0.51,0
