f0x,f0y,f1x,f1y,f2x,f2y,f3x,f3y,roll,pitch,label
-38.45,7.65,-15.4,-4.16,13.25,25.79,-11.21,11.2,-27.38,9.23,6
-38.89,6.95,-15.4,-4.16,13.25,25.79,-11.21,11.2,-27.33,9.17,6
-38.89,6.95,-18.28,-4.72,13.25,25.79,-11.21,11.2,-27.06,9.01,6
-38.89,6.95,-18.28,-4.72,13.14,25.15,-11.21,11.2,-26.56,9.0,6
-38.89,6.95,-18.28,-4.72,13.14,25.15,-12.22,10.7,-26.08,8.91,6
-40.63,7.77,-18.28,-4.72,13.14,25.15,-12.22,10.7,-25.38,8.72,6
-40.63,7.77,-18.6,-4.3,13.14,25.15,-12.22,10.7,-25.17,8.66,6
-40.63,7.77,-18.6,-4.3,11.5,25.19,-12.22,10.7,-25.03,8.65,6
-40.63,7.77,-18.6,-4.3,11.5,25.19,-13.33,10.53,-24.88,8.59,6
-40.63,8.3,-18.6,-4.3,11.5,25.19,-13.33,10.53,-24.82,8.69,6
-40.63,8.3,-19.06,-4.15,11.5,25.19,-13.33,10.53,-24.99,8.7,6
-40.63,8.3,-19.06,-4.15,11.28,24.87,-13.33,10.53,-25.07,8.68,6
-40.63,8.3,-19.06,-4.15,11.28,24.87,-13.1,10.77,-25.18,8.59,6
-41.66,8.47,-19.06,-4.15,11.28,24.87,-13.1,10.77,-25.29,8.61,6
-41.66,8.47,-18.79,-4.02,11.28,24.87,-13.1,10.77,-25.37,8.67,6
-41.66,8.47,-18.79,-4.02,12.36,25.51,-13.1,10.77,-25.48,8.77,6
-41.66,8.47,-18.79,-4.02,12.36,25.51,-12.67,10.37,-25.46,8.8,6
-41.01,7.58,-18.79,-4.02,12.36,25.51,-12.67,10.37,-25.48,8.77,6
-41.01,7.58,-18.23,-3.59,12.36,25.51,-12.67,10.37,-25.41,8.79,6
-41.01,7.58,-18.23,-3.59,11.35,25.29,-12.67,10.37,-25.46,8.91,6
-41.01,7.58,-18.23,-3.59,11.35,25.29,-11.88,10.96,-26.13,8.81,6
-39.65,7.41,-18.23,-3.59,11.35,25.29,-11.88,10.96,-26.1,9.06,6
-39.65,7.41,-19.29,-4.4,11.35,25.29,-11.88,10.96,-26.03,9.18,6
-39.65,7.41,-19.29,-4.4,11.5,25.72,-11.88,10.96,-25.69,9.78,6
-39.65,7.41,-19.29,-4.4,11.5,25.72,-13.02,11.44,-25.48,10.12,6
-39.98,9.68,-19.29,-4.4,11.5,25.72,-13.02,11.44,-25.37,10.07,6
-39.98,9.68,-17.22,-1.32,11.5,25.72,-13.02,11.44,-24.96,10.07,6
-39.98,9.68,-17.22,-1.32,9.04,27.73,-13.02,11.44,-24.79,10.74,6
-39.98,9.68,-17.22,-1.32,9.04,27.73,-13.55,13.26,-24.94,10.7,6
-39.59,10.41,-17.22,-1.32,9.04,27.73,-13.55,13.26,-24.74,11.1,6
-39.59,10.41,-20.47,-0.26,9.04,27.73,-13.55,13.26,-24.88,10.82,6
-39.59,10.41,-20.47,-0.26,10.13,27.38,-13.55,13.26,-24.68,11.9,6
-39.59,10.41,-20.47,-0.26,10.13,27.38,-14.33,14.54,-24.74,13.57,6
-38.88,11.88,-20.47,-0.26,10.13,27.38,-14.33,14.54,-23.71,13.25,6
-38.88,11.88,-21.08,-1.49,10.13,27.38,-14.33,14.54,-23.41,12.78,6
-38.88,11.88,-21.08,-1.49,10.03,26.42,-14.33,14.54,-23.59,12.44,6
-38.88,11.88,-21.08,-1.49,10.03,26.42,-16.7,12.75,-22.99,11.95,6
-44.01,10.58,-21.08,-1.49,10.03,26.42,-16.7,12.75,-22.24,12.04,6
-44.01,10.58,-24.16,-0.59,10.03,26.42,-16.7,12.75,-21.52,11.55,6
-44.01,10.58,-24.16,-0.59,8.35,28.47,-16.7,12.75,-20.25,10.29,6
-44.01,10.58,-24.16,-0.59,8.35,28.47,-14.83,12.18,-20.75,10.22,6
-39.87,14.18,-24.16,-0.59,8.35,28.47,-14.83,12.18,-23.24,10.61,6
-39.87,14.18,-20.99,-4.14,8.35,28.47,-14.83,12.18,-23.82,10.74,6
-39.87,14.18,-20.99,-4.14,9.4,24.14,-14.83,12.18,-24.38,10.7,6
-39.87,14.18,-20.99,-4.14,9.4,24.14,-13.98,11.15,-24.38,10.89,6
-40.35,10.0,-20.99,-4.14,9.4,24.14,-13.98,11.15,-24.32,10.99,6
-40.35,10.0,-20.04,0.19,9.4,24.14,-13.98,11.15,-24.94,11.71,6
-40.35,10.0,-20.04,0.19,9.42,28.4,-13.98,11.15,-25.05,11.82,6
-40.35,10.0,-20.04,0.19,9.42,28.4,-13.91,13.08,-24.92,11.76,6
-39.96,10.11,-20.04,0.19,9.42,28.4,-13.91,13.08,-24.38,11.86,6
-39.96,10.11,-19.16,-1.88,9.42,28.4,-13.91,13.08,-24.56,11.63,6
-39.96,10.11,-19.16,-1.88,9.57,26.61,-13.91,13.08,-24.53,11.39,6
-39.96,10.11,-19.16,-1.88,9.57,26.61,-13.33,12.63,-24.5,11.21,6
-40.93,11.33,-19.16,-1.88,9.57,26.61,-13.33,12.63,-24.59,11.01,6
-40.93,11.33,-20.09,-0.53,9.57,26.61,-13.33,12.63,-24.4,10.66,6
-40.93,11.33,-20.09,-0.53,9.67,25.47,-13.33,12.63,-24.32,10.71,6
-40.93,11.33,-20.09,-0.53,9.67,25.47,-15.29,11.72,-24.15,10.67,6
-42.16,10.14,-20.09,-0.53,9.67,25.47,-15.29,11.72,-23.63,10.59,6
-42.16,10.14,-19.12,-3.53,9.67,25.47,-15.29,11.72,-23.85,10.19,6
-42.16,10.14,-19.12,-3.53,9.69,26.69,-15.29,11.72,-24.04,10.48,6
-42.16,10.14,-19.12,-3.53,9.69,26.69,-13.68,11.6,-24.43,10.45,6
-39.5,8.87,-19.12,-3.53,9.69,26.69,-13.68,11.6,-24.73,10.37,6
-39.5,8.87,-18.31,-2.03,9.69,26.69,-13.68,11.6,-25.75,10.13,6
-39.5,8.87,-18.31,-2.03,11.99,25.97,-13.68,11.6,-26.31,10.29,6
-39.5,8.87,-18.31,-2.03,11.99,25.97,-9.84,11.88,-27.25,10.31,6
-38.65,7.2,-18.31,-2.03,11.99,25.97,-9.84,11.88,-27.55,10.35,6
-38.65,7.2,-15.7,-3.48,11.99,25.97,-9.84,11.88,-27.49,10.08,6
-38.65,7.2,-15.7,-3.48,15.22,27.16,-9.84,11.88,-27.8,9.94,6
-38.65,7.2,-15.7,-3.48,15.22,27.16,-12.31,12.62,-28.36,10.01,6
-35.92,7.24,-15.7,-3.48,15.22,27.16,-12.31,12.62,-28.93,9.65,6
-35.92,7.24,-17.24,-2.53,15.22,27.16,-12.31,12.62,-29.38,9.95,6
-35.92,7.24,-17.24,-2.53,14.64,27.82,-12.31,12.62,-29.59,10.08,6
-35.92,7.24,-17.24,-2.53,14.64,27.82,-10.14,12.28,-29.65,10.34,6
-37.02,6.71,-17.24,-2.53,14.64,27.82,-10.14,12.28,-29.86,9.92,6
-37.02,6.71,-15.75,-2.75,14.64,27.82,-10.14,12.28,-29.8,9.91,6
-37.02,6.71,-15.75,-2.75,15.28,26.61,-10.14,12.28,-30.03,9.69,6
-37.02,6.71,-15.75,-2.75,15.28,26.61,-9.82,11.76,-30.16,9.63,6
-37.84,6.65,-15.75,-2.75,15.28,26.61,-9.82,11.76,-30.25,9.71,6
-37.84,6.65,-14.86,-4.04,15.28,26.61,-9.82,11.76,-30.4,9.67,6
-37.84,6.65,-14.86,-4.04,15.15,26.61,-9.82,11.76,-30.44,9.82,6
-37.84,6.65,-14.86,-4.04,15.15,26.61,-9.15,12.56,-30.56,9.86,6
-36.75,6.54,-14.86,-4.04,15.15,26.61,-9.15,12.56,-30.71,9.75,6
-36.75,6.54,-14.34,-3.42,15.15,26.61,-9.15,12.56,-31.02,9.59,6
-36.75,6.54,-14.34,-3.42,16.05,27.02,-9.15,12.56,-31.19,9.47,6
-36.75,6.54,-14.34,-3.42,16.05,27.02,-8.93,12.09,-31.27,9.44,6
-36.27,6.19,-14.34,-3.42,16.05,27.02,-8.93,12.09,-31.33,9.45,6
-36.27,6.19,-13.67,-3.9,16.05,27.02,-8.93,12.09,-31.41,9.4,6
-36.27,6.19,-13.67,-3.9,15.6,27.0,-8.93,12.09,-31.46,9.38,6
-36.27,6.19,-13.67,-3.9,15.6,27.0,-9.14,11.48,-31.57,9.3,6
-36.39,5.99,-13.67,-3.9,15.6,27.0,-9.14,11.48,-31.66,9.26,6
-36.39,5.99,-13.52,-4.07,15.6,27.0,-9.14,11.48,-31.76,9.28,6
-36.39,5.99,-13.52,-4.07,16.68,26.58,-9.14,11.48,-31.97,9.37,6
-36.39,5.99,-13.52,-4.07,16.68,26.58,-8.41,11.96,-32.5,9.62,6
-33.99,4.67,-13.52,-4.07,16.68,26.58,-8.41,11.96,-33.51,9.56,6
-33.99,4.67,-13.04,-5.01,16.68,26.58,-8.41,11.96,-33.34,9.32,6
-33.99,4.67,-13.04,-5.01,17.63,26.81,-8.41,11.96,-33.06,8.87,6
-33.99,4.67,-13.04,-5.01,17.63,26.81,-6.84,10.84,-33.06,8.64,6
-35.87,4.41,-13.04,-5.01,17.63,26.81,-6.84,10.84,-33.18,8.44,6
-35.87,4.41,-12.93,-5.67,17.63,26.81,-6.84,10.84,-33.2,8.35,6
-35.87,4.41,-12.93,-5.67,17.01,25.64,-6.84,10.84,-33.2,8.11,6
-35.87,4.41,-12.93,-5.67,17.01,25.64,-6.92,11.16,-33.15,8.12,6
-35.75,3.9,-12.93,-5.67,17.01,25.64,-6.92,11.16,-33.19,8.09,6
-35.75,3.9,-11.98,-5.29,17.01,25.64,-6.92,11.16,-33.17,8.1,6
-35.75,3.9,-11.98,-5.29,17.63,26.23,-6.92,11.16,-33.29,8.04,6
-35.75,3.9,-11.98,-5.29,17.63,26.23,-7.13,11.31,-33.32,8.0,6
-36.12,5.02,-11.98,-5.29,17.63,26.23,-7.13,11.31,-33.22,8.28,6
-36.12,5.02,-13.39,-4.22,17.63,26.23,-7.13,11.31,-33.05,8.65,6
-36.12,5.02,-13.39,-4.22,16.73,26.67,-7.13,11.31,-32.98,8.78,6
-36.12,5.02,-13.39,-4.22,16.73,26.67,-8.44,11.73,-33.09,8.81,6
